record_key,doi,first_author,year,title,source,decision,exclude_reason,maps_to_study_key,screened_by,notes
waldbusser2015,10.1371/journal.pone.0128376,Waldbusser,2015,Ocean Acidification Has Multiple Modes of Action on Bivalve Larvae,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
gates1999,10.1093/icb/39.1.30,Gates,1999,The Physiological Mechanisms of Acclimatization in Tropical Reef Corals,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
lannig2010,10.3390/md8082318,Lannig,2010,"Impact of Ocean Acidification on Energy Metabolism of Oyster, Crassostrea gigas—Changes in Metabolic Pathways and Thermal Response",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
blunt2015,10.1039/c4np00144c,Blunt,2015,Marine natural products,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
norcross1984,10.1577/1548-8659(1984)113<153:oaetof>2.0.co;2,Norcross,1984,Oceanic and Estuarine Transport of Fish Eggs and Larvae: A Review,openalex,exclude,review,,auto-screen,title indicates review/perspective
duarte2013,10.1007/s12237-013-9594-3,Duarte,2013,Is Ocean Acidification an Open-Ocean Syndrome? Understanding Anthropogenic Impacts on Seawater pH,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
irvine1986,10.1042/bj2400917,Irvine,1986,"Micro-injection of inositol 1,3,4,5-tetrakisphosphate activates sea urchin eggs by a mechanism dependent on external Ca2+",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
simakov2012,10.1038/nature11696,Simakov,2012,Insights into bilaterian evolution from three spiralian genomes,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
zenetos2010,10.12681/mms.87,Zenetos,2010,Alien species in the Mediterranean Sea by 2010. A contribution to the application of European Union’s Marine Strategy Framework Directive (MSFD). Part I. Spatial distribution,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
olivier2018,10.1111/raq.12301,Olivier,2018,A global review of the ecosystem services provided by bivalve aquaculture,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
rogers1990,10.3354/meps062185,Rogers,1990,Responses of coral reefs and reef organisms to sedimentation,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
wassmann2010,10.1111/j.1365-2486.2010.02311.x,Wassmann,2010,Footprints of climate change in the Arctic marine ecosystem,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
smith2022,10.1146/annurev-marine-032122-121437,Smith,2022,Biological Impacts of Marine Heatwaves,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
pacanowski1981,10.1175/1520-0485(1981)011<1443:povmin>2.0.co;2,Pacanowski,1981,Parameterization of Vertical Mixing in Numerical Models of Tropical Oceans,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
levy2013,10.5194/amt-6-2989-2013,Levy,2013,The Collection 6 MODIS aerosol products over land and ocean,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
arzul2017,10.1016/j.jip.2017.01.009,Arzul,2017,Viruses infecting marine molluscs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
destoumieuxgarzn2020,10.1111/1462-2920.15055,Destoumieux‐Garzón,2020,<i>Vibrio</i> –bivalve interactions in health and disease,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
riet2011,10.1093/jaoac/94.4.1154,Riet,2011,"Liquid Chromatography Post-Column Oxidation (PCOX) Method for the Determination of Paralytic Shellfish Toxins in Mussels, Clams, Oysters, and Scallops: Collaborative Study",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
glynn1993,10.1007/bf00303779,Glynn,1993,Coral reef bleaching: ecological perspectives,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
andersson2012,10.1146/annurev-marine-121211-172241,Andersson,2012,"Ocean Acidification and Coral Reefs: Effects on Breakdown, Dissolution, and Net Ecosystem Calcification",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
grant1998,10.1093/jhered/89.5.415,Grant,1998,Shallow population histories in deep evolutionary lineages of marine fishes: insights from sardines and anchovies and lessons for conservation,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
wijsman2018,10.1007/978-3-319-96776-9_2,Wijsman,2018,Global Production of Marine Bivalves. Trends and Challenges,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
star2019,10.1016/j.scitotenv.2019.134914,Stará,2019,Assessing the effects of neonicotinoid insecticide on the bivalve mollusc Mytilus galloprovincialis,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
geyer2013,10.1146/annurev-fluid-010313-141302,Geyer,2013,The Estuarine Circulation,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
barboza2018,10.1016/j.marpolbul.2018.05.047,Barboza,2018,"Marine microplastic debris: An emerging issue for food security, food safety and human health",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
1059387wotj9184,10.59387/wotj9184,,2021,Status of Coral Reefs of the World: 2020,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
oliver2017,10.1038/ncomms16101,Oliver,2017,The unprecedented 2015/16 Tasman Sea marine heatwave,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
sala2021,10.1038/s41586-021-03371-z,Sala,2021,"Protecting the global ocean for biodiversity, food and climate",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
beck2018,10.1038/s41467-018-04568-z,Beck,2018,The global flood protection savings provided by coral reefs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
raven2005,NR,Raven,2005,Ocean acidification due to increasing atmospheric carbon dioxide,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
sunderland2006,10.1289/ehp.9377,Sunderland,2006,Mercury Exposure from Domestic and Imported Estuarine and Marine Fish in the U.S. Seafood Market,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
rowan1997,10.1038/40843,Rowan,1997,Landscape ecology of algal symbionts creates variation in episodes of coral bleaching,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
elston2008,10.3354/dao01982,Elston,2008,"Re-emergence of Vibrio tubiashii in bivalve shellfish aquaculture: severity, environmental drivers, geographic extent and management",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
riebesell2011,10.2777/66906,Riebesell,2011,Guide to best practices for ocean acidification research and data reporting,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
bourne2016,10.1146/annurev-micro-102215-095440,Bourne,2016,Insights into the Coral Microbiome: Underpinning the Health and Resilience of Reef Ecosystems,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
delaporte2003,10.1242/jeb.00518,Delaporte,2003,Effect of a mono-specific algal diet on immune functions in two bivalve species -<i>Crassostrea gigas</i>and<i>Ruditapes philippinarum</i>,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
graham2012,10.1007/s00338-012-0984-y,Graham,2012,The importance of structural complexity in coral reef ecosystems,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
keeling2014,10.1371/journal.pbio.1001889,Keeling,2014,The Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP): Illuminating the Functional Diversity of Eukaryotic Life in the Oceans through Transcriptome Sequencing,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
dixon2018,10.1073/pnas.1813749115,Dixon,2018,Role of gene body methylation in acclimatization and adaptation in a basal metazoan,openalex,exclude,not-priming,,human-review,"reciprocal transplant of wild coral fragments; observational plasticity, not induced priming dose"
marigmez2002,10.1002/jemt.10040,Marigómez,2002,Cellular and subcellular distribution of metals in molluscs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
lee2006,10.3354/meps307273,Lee,2006,Lipid storage in marine zooplankton,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ermgassen2012,10.1098/rspb.2012.0313,Ermgassen,2012,Historical ecology with real numbers: past and present extent and biomass of an imperilled estuarine habitat,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
harvey1931,10.2307/1536947,Harvey,1931,"THE TENSION AT THE SURFACE OF MARINE EGGS, ESPECIALLY THOSE OF THE SEA URCHIN, ARBACIA",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
oppen2017,10.1111/gcb.13647,Oppen,2017,Shifting paradigms in restoration of the world's coral reefs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
